OilPrices,SP500,RigCount,API,Field_Production,RefinerNetInput,OperableCapacity,Imports,StocksExcludingSPR
-0.3,0.6,-0.025210084,-2.383076923,0.001773443,0.025502033,0.022123894,-0.0820857,0.004563174
12.3,0.7,-0.030172414,1.604651163,0.001554174,0.012109779,0.010940919,-0.068100358,-0.010465345
1.5,-0.2,-0.015555556,1.690985055,0.003453269,-0.03086381,-0.024663677,0.086397985,0.013130601
5.8,0.8,-0.006772009,-1.007419355,0.002680666,0.010121709,0.002237136,0.030169781,0.004100041
-0.2,1.3,-0.020454545,3.897196262,0.001678228,-0.016217581,-0.014755959,-0.084370861,0.00392491
2.8,-0.6,-0.025522042,1.845849802,0.012804533,0.008695108,0.017837235,0.014360313,0.005436491
5.6,-1.1,-0.011904762,0.633333333,0.002613042,0.011929044,-0.006734007,-0.000653168,-0.00709556
1.5,0.1,-0.021686747,4.026315789,0.00125128,0.011728056,0.015469613,0.002865703,0.00256965
0.6,-0.6,-0.004926108,0.778080592,0.002737538,-0.005651453,-0.008918618,-0.049487355,-0.008358866
2.4,1.5,0,3.185957447,0.003663423,-0.004504505,0.001113586,0.066845261,-0.002709215
-4.6,0.9,0.00990099,1.66011236,-0.001143511,0.012852531,0.01210121,-0.017391304,-0.004704649
1.7,0.5,0.014705882,3.345191041,0.003327214,-0.006128578,-0.007760532,-0.01088953,-0.001862606
-1.1,-1.7,0.024154589,1.29058193,0.004494641,0.011390488,0.012048193,0.096812419,-0.001834022
-4.2,0.3,-0.007075472,-0.353367876,0.00637903,0.011380653,0.01827957,-0.117008604,-0.008172343
-1.2,-1,0.023752969,0.426448737,0.02301851,-0.000479415,-0.005405405,0.096616047,-0.00450257
-2.5,2,0.020881671,4.059090909,-0.006717737,-0.008643617,-0.002166847,-0.066573141,-0.00518352
-5.9,2.3,0.015909091,1.956521739,-0.001059571,0.018917156,0.009656652,0.036021638,-0.004791032
-2.4,0.7,0.033557047,0.721886336,-0.002466236,-0.016700832,-0.008658009,0.035913239,0.003406721
5.6,0,0.002164502,-5.361538462,0.006501182,0.015784477,0.009646302,0.034447242,0.002872453
9.4,-0.1,0.002159827,1.622009569,0.001776199,-0.015364222,-0.011930586,-0.03974298,0.002140094
-0.2,0.6,0.036637931,3.09,-0.017680586,0.015890898,0.013903743,-0.025753692,-0.005113556
-4.1,0.1,0.020790021,1.224014337,0.005732335,-0.011151748,-0.010810811,0.051955566,0.005073413
1.9,-0.3,-0.00407332,-3.738853503,0.007068803,-0.003851941,0.003232759,0.030839969,0.00459577
-3.5,-0.1,0.016359918,1.077980132,0.003546938,0.018606025,0.009605123,-0.261423115,-0.030189817
0.6,-0.2,0.022132797,9.388888889,-0.004121041,-0.011954573,-0.00861141,0.123170429,-0.001164181
4.4,-1.4,-0.003937008,1.192076831,-0.002232143,-0.008621209,-0.009782609,0.029726802,-0.013081107
6.3,0.8,0.009881423,-8.969414894,0.001765329,-0.015489164,-0.02108768,-0.060497766,-0.003986579
1.6,0.1,0.021526419,0.901052632,0.003543168,-0.018837325,-0.020385051,-0.016212711,-0.006343955
0.5,-0.1,0.003831418,3.814814815,0.002011834,-0.030864198,-0.032748538,0.019208752,0.010232974
-2.4,-0.7,0.028625954,1.710526316,-0.001654064,-0.011841249,-0.005882353,-0.138120747,-0.011194531
-7.8,-0.1,0.025974026,1.791666667,-0.004703669,0.011702675,0.007009346,0.015535918,-0.001181225
-2,0,0.007233273,0.483870968,-0.00211218,-0.006732263,-0.004694836,0.220011117,0.02988118
1.2,-1.7,0.021543986,-1.113636364,-0.019558214,0.023329329,0.021814007,-0.208680462,0.00501433
4.7,2.4,-0.001757469,-0.205479452,0.001267135,0.019161602,0.023542601,0.116466817,0.010757031
2.9,1.2,0.035211268,3.8515625,-0.001035673,0.016527414,0.017621145,-0.111506994,-0.00256631
4.8,1.2,0.008503401,-0.785216179,-0.001034602,-0.007001167,-0.011135857,-0.003974563,-0.001810937
1.8,-0.3,0.006745363,0.675565611,0.000229964,0.008162271,0.006637168,0.090930989,-0.004918107
0.1,1.6,0.045226131,1.472222222,-0.011255116,0.003459998,0.001104972,-0.128125,-0.005304299
3.2,1.2,0.020833333,2.127710843,0.001138174,0.011045744,0.010928962,0.131153347,0.004647244
-0.5,0.2,0.025117739,1.988095238,0.002281542,-0.006100139,-0.005494505,-0.03722297,0.001263211
-2.4,-0.6,0.007656968,1.565275908,-0.0004561,0.007909401,0.010869565,-0.136990116,-0.014719882
-0.5,0.8,0.010638298,5.953333333,-0.019673597,0.024434442,0.017094017,0.206473707,0.008480488
1.8,0.1,-0.009022556,1.297619048,0.000223614,-0.038802526,-0.031973539,-0.080448794,0.00483463
1.1,-0.1,0.053110774,2.721899556,-0.00189711,-0.026235433,-0.027180068,-0.072727273,0.005816144
-0.8,0.8,0.025936599,0.495344828,0.005159843,-0.006270772,-0.001133787,0.057901086,0.01306891
0.6,-0.2,0.023876404,0.592410401,-0.007017153,-0.003397722,-0.005701254,0.115450277,0.02719272
1.5,0.8,0.016460905,-0.431589537,0.000111396,-0.028140769,-0.026932084,-0.103756919,0.018387668
-0.9,1.8,0.013495277,12.24434389,-0.00266637,-0.012245433,-0.013048636,-0.165385671,0.001087369
-5.7,0.9,0.003994674,1.353317346,-0.003432241,0.025089377,0.019767442,0.039926209,0.002885517
-4.9,0.6,0.00265252,0.784310345,-0.006161972,-0.011102505,-0.001164144,0.068834356,0.015535785
-1.6,-0.4,0.015873016,22.84557439,-0.002305412,-0.001292658,-0.009400705,-0.100607698,-0.000448731
3.9,0.3,0.02734375,1.117244425,-0.00219082,0.020821467,0.026315789,0.108583123,0.009292641
