Date,CrudeOil,SPX,RigCount,API,FieldProduction,RefinerNetInput,OperableCapacity,Imports,StocksExcludingSPR,NonCommercialLong,NonCommercialShort,CommercialLong,CommercialShort,TotalLong,TotalShort,NonReportablePositionsLong,NonReportablePositionsShort,OpenInterest
3/25/2016,0.04776,0.63627,-0.02521,-2.38308,0.00177,0.0255,0.02212,-0.08209,0.00456,0.01182,0.04402,-0.00236,0.0079,0.00251,0.00803,0.06577,-0.05706,0.00504
4/1/2016,-0.04807,0.69488,-0.03017,1.60465,0.00155,0.01211,0.01094,-0.0681,-0.01047,0.01746,0.13169,0.02236,0.00463,0.02514,0.02534,0.06557,0.06034,0.02685
4/8/2016,-0.02512,-0.20508,-0.01556,1.69099,0.00345,-0.03086,-0.02466,0.0864,0.01313,-0.0122,-0.03506,0.08,0.04453,0.05268,0.04606,-0.03306,0.11012,0.04892
4/15/2016,0.10655,0.80059,-0.00677,-1.00742,0.00268,0.01012,0.00224,0.03017,0.0041,0.02715,-0.17133,-0.07464,-0.0141,-0.0702,-0.06885,-0.06932,-0.09687,-0.07017
4/22/2016,0.02062,1.26526,-0.02045,3.8972,0.00168,-0.01622,-0.01476,-0.08437,0.00392,0.0084,-0.00521,0.0277,0.0225,0.01949,0.01899,0.0112,0.02264,0.01916
4/29/2016,0.0644,-0.61876,-0.02552,1.84585,0.0128,0.0087,0.01784,0.01436,0.00544,-0.0288,-0.02311,0.03367,0.01903,0.02749,0.03049,0.02215,-0.03936,0.02728
5/6/2016,-0.01228,-1.07577,-0.0119,0.63333,0.00261,0.01193,-0.00673,-0.00065,-0.0071,-0.01162,0.14273,0.03869,0.0082,-0.00254,-0.00116,0.03331,-0.00005,-0.00111
5/13/2016,0.02735,0.14121,-0.02169,4.02632,0.00125,0.01173,0.01547,0.00287,0.00257,0.05059,-0.10655,-0.07553,-0.03289,-0.06656,-0.07357,0.02943,0.18205,-0.06259
5/20/2016,0.05677,-0.62414,-0.00493,0.77808,0.00274,-0.00565,-0.00892,-0.04949,-0.00836,-0.04028,-0.04999,-0.04716,-0.03591,-0.00801,-0.00321,-0.00485,-0.08898,-0.00786
5/27/2016,0.0204,1.46238,0,3.18596,0.00366,-0.0045,0.00111,0.06685,-0.00271,-0.01346,-0.0738,0.0492,0.03556,0.03089,0.03022,0.01305,0.02745,0.03008
6/3/2016,-0.00204,0.93283,0.0099,1.66011,-0.00114,0.01285,0.0121,-0.01739,-0.0047,0.01709,0.15508,0.02785,0.01098,0.03446,0.03539,0.03475,0.01697,0.03448
